,title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size
364,House of Cards,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91.0,80
366,The Killing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,73.0,80
372,Unconditional,PG-13,some violent content and mature thematic elements,80,2012,73.0,82
374,The Blacklist,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96.0,80
375,The Fosters,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,73.0,80
379,Witches of East End,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,73.0,82
380,Bitten,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,56.0,80
381,London Has Fallen,R,strong violence and language throughout,100,2016,96.0,80
382,Marvel's Jessica Jones,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,83.0,80
383,Bloodline,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,83.0,82
385,Velvet,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83.0,82
387,The Crown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.0,80
389,Kurt Seyit & Sura,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,84.0,82
390,The Returned,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,84.0,82
391,The Girl in the Book,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,84.0,82
392,Quantico,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88.0,80
399,100 Metros,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,88.0,82
401,Dexter,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,95.0,80
402,Leverage,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,86.0,80
407,Burn Notice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,85.0,80
411,Luther,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,69.0,80
412,Hawaii Five-0,TV-14,"dialogue, language, sexual situations and violence",90,2016,96.0,80
414,Last Man Standing,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,97.0,80
416,Person of Interest,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,93.0,80
418,Touch,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,68.0,80
420,Breakout Kings,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80
423,The Following,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,88.0,82
424,"Drugs, Inc.",TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,88.0,82
425,Longmire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92.0,80
426,Ripper Street,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,92.0,82
427,The Fall,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,61.0,80
428,Death in Paradise,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,77.0,80
429,Marvel's Agents of S.H.I.E.L.D.,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,89.0,80
430,Crossing Lines,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,66.0,80
434,The Honorable Woman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,66.0,82
435,Transporter: The Series,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,66.0,82
436,Gotham,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,85.0,80
440,American Odyssey,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,85.0,82
441,Aquarius,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,85.0,82
442,Hap and Leonard,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,57.0,80
443,Rosewood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,81.0,80
445,Limitless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.0,80
446,Travelers,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,86.0,80
447,The Doctor Blake Mysteries,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,57.0,80
448,I.T,NR,For mature audiences.  May not be suitable for children 17 and under.,124,2016,57.0,82
449,Bordertown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,57.0,82
462,The West Wing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,79.0,80
465,Blue Bloods,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80
475,Forensic Files,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,88.0,80
479,Rectify,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88.0,82
485,American Crime,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88.0,82
486,Madam Secretary,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,70.0,80
493,American Crime Story: The People v. O.J. Simpson,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,79.0,80
501,Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86.0,80
502,Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92.0,80
503,Teenage Mutant Ninja Turtles,PG,"animated action violence, some scary cartoon images and mild language",60,2007,92.0,82
504,Star Wars: The Clone Wars,PG,"sci-fi action violence throughout, brief language and momentary smoking",60,2008,57.0,80
508,Thomas & Friends: Thomas & the Runaway Kite,TV-Y,Suitable for all ages.,10,2010,57.0,82
509,Dino Squad,TV-Y7,Suitable for children ages 7 and older,41,2008,57.0,82
510,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80
511,LeapFrog: The Amazing Alphabet Amusement Park,TV-Y,Suitable for all ages.,10,2010,74.0,82
512,Star Wars: The Clone Wars,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93.0,80
513,Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89.0,80
514,The Batman,TV-Y7,Suitable for children ages 7 and older,41,2007,77.0,80
515,Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2003,66.0,80
516,Justice League Unlimited,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2005,66.0,82
517,Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2010,73.0,80
518,Young Justice,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,71.0,80
521,Oscar's Oasis,TV-G,Suitable for all ages.,35,2011,71.0,82
522,Transformers Prime,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,71.0,82
523,The Adventures of Chuck & Friends,TV-Y,Suitable for all ages.,10,2011,71.0,82
524,Transformers: Rescue Bots,TV-Y7,Suitable for children ages 7 and older,41,2016,71.0,82
525,Thomas & Friends: King of the Railway,TV-G,Suitable for all ages.,35,2013,71.0,82
526,LEGO: Marvel Super Heroes: Maximum Overload,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,71.0,82
527,Max Steel,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2014,71.0,82
528,Transformers Prime Beast Hunters: Predacons Rising,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,71.0,82
529,Agent F.O.X.,PG,Parental guidance suggested. May not be suitable for children.,60,2014,71.0,82
530,VeggieTales in the House,TV-Y,Suitable for all ages.,10,2016,71.0,82
531,Thunder and the House Of Magic,TV-G,Suitable for all ages.,35,2013,71.0,82
532,All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71.0,80
533,Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71.0,82
534,Marvel Super Hero Adventures: Frost Fight!,PG,fantasy action,60,2015,71.0,82
535,Slugterra: Slug Fu Showdown,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,71.0,82
536,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,71.0,82
537,Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,71.0,82
538,Lego DC Comics: Batman Be-Leaguered,TV-Y7,Suitable for children ages 7 and older,41,2014,71.0,82
540,Power Rangers Dino Charge,TV-Y7,Suitable for children ages 7 and older,41,2015,71.0,82
541,Bunks,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,71.0,82
542,The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97.0,80
543,The Angry Birds Movie,PG,for rude humor and action,60,2016,92.0,80
544,The Secret Life of Pets,PG,for action and some rude humor,60,2016,92.0,81
545,The Furchester Hotel,TV-Y,Suitable for all ages.,10,2015,92.0,82
546,Marvel's Hulk: Where Monsters Dwell,PG,"action violence throughout, some scary images, and language",60,2016,92.0,82
547,Angry Birds,TV-G,Suitable for all ages.,35,2013,92.0,82
548,Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61.0,80
549,Nexo Knights,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,61.0,82
551,An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67.0,80
553,The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80
559,The Cat in the Hat Knows a Lot About That!,TV-Y,Suitable for all ages.,10,2014,83.0,82
561,Bob the Builder,TV-Y,Suitable for all ages.,10,2015,83.0,82
562,Beyblade: Metal Fusion,TV-Y7,Suitable for children ages 7 and older,41,2009,83.0,82
565,DreamWorks Kung Fu Panda Awesome Secrets,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,83.0,82
566,LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,67.0,80
569,LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2011,88.0,82
570,Super Buddies,G,General Audiences. Suitable for all ages.,35,2013,88.0,82
571,Tad: The Lost Explorer,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,88.0,82
572,PokÌ©mon: Indigo League,TV-Y,Suitable for all ages.,10,2000,74.0,80
573,Ratchet and Clank,PG,action and some rude humor,60,2016,74.0,80
574,Pac-Man and the Ghostly Adventures,TV-Y7,Suitable for children ages 7 and older,41,2014,74.0,82
575,Iron Man & Captain America: Heroes United,PG,"action and violence throughout, and mild language",60,2014,74.0,82
576,Power Rangers Super Megaforce,TV-Y7,Suitable for children ages 7 and older,41,2014,74.0,82
577,Chuggington,TV-Y,Suitable for all ages.,10,2015,74.0,82
579,The Adventures of Puss in Boots,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,78.0,80
582,Some Assembly Required,TV-G,Suitable for all ages.,35,2015,78.0,82
585,Kulipari: An Army of Frogs,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,78.0,82
586,Transformers: Robots in Disguise,TV-Y7,Suitable for children ages 7 and older,41,2016,78.0,82
587,Robocar Poli,TV-Y,Suitable for all ages.,10,2012,78.0,82
588,LEGO Bionicle: The Journey to One,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,78.0,82
590,Voltron: Legendary Defender,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,78.0,82
592,Buddy Thunderstruck,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,78.0,82
594,PokÌ©mon: XY,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,56.0,80
595,Power Rangers Dino Super Charge,TV-Y7,Suitable for children ages 7 and older,41,2016,56.0,82
596,The Deep,TV-Y7,Suitable for children ages 7 and older,41,2015,56.0,82
597,Skylanders Academy,TV-Y7,Suitable for children ages 7 and older,41,2016,56.0,82
599,Growing Up Wild,G,Suitable for children ages 7 and older,35,2016,80.0,80
602,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95.0,80
603,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95.0,80
605,Lilo & Stitch,PG,mild sci-fi action,60,2002,95.0,80
606,Scooby-Doo 2: Monsters Unleashed,PG,"some scary action, rude humor and language",60,2004,82.0,80
607,The Three Musketeers,G,General Audiences. Suitable for all ages.,35,2004,82.0,82
608,Mickey's Twice Upon a Christmas,G,General Audiences. Suitable for all ages.,35,2004,82.0,82
609,The Pacifier,PG,"action violence, language and rude humor",60,2005,91.0,80
612,Bee Movie,PG,mild suggestive humor,60,2007,94.0,80
613,Kung Fu Panda,PG,sequences of martial arts action,60,2008,91.0,80
617,Super Why!,TV-Y,Suitable for all ages.,10,2015,68.0,80
618,Jessie,TV-G,Suitable for all ages.,35,2015,88.0,80
619,Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,88.0,82
620,Lab Rats,TV-Y7,Suitable for children ages 7 and older,41,2016,85.0,80
622,Pocoyo,TV-Y,Suitable for all ages.,10,2007,67.0,80
625,Octonauts,TV-Y,Suitable for all ages.,10,2015,67.0,82
626,Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88.0,80
627,Mother Goose Club,TV-Y,Suitable for all ages.,10,2016,88.0,82
628,Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70.0,80
629,Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93.0,80
630,Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41,2017,72.0,80
632,Goosebumps,PG,"scary and intense creature action and images, and for some rude humor",60,2015,90.0,80
633,Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92.0,80
636,Home: Adventures with Tip & Oh,TV-Y7,Suitable for children ages 7 and older,41,2017,92.0,82
637,Open Season: Scared Silly,PG,rude humor and some action,60,2015,72.0,80
638,The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,72.0,82
640,Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96.0,80
643,Ask the StoryBots,TV-Y,Suitable for all ages.,10,2016,96.0,82
645,Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77.0,80
646,Little Baby Bum: Nursery Rhyme Friends,TV-Y,Suitable for all ages.,10,2016,77.0,82
648,Tayo the Little Bus,TV-Y,Suitable for all ages.,10,2014,77.0,82
654,Chicken Run,G,General Audiences. Suitable for all ages.,35,2000,80.0,80
657,Spy Kids 3: Game Over,PG,action sequences and peril,60,2003,64.0,80
659,Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85.0,80
661,Lilo & Stitch 2: Stitch Has A Glitch,PG,some mild action,60,2005,85.0,80
667,DreamWorks Shrek's Swamp Stories,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,56.0,80
668,Beverly Hills Chihuahua 3: Viva La Fiesta!,G,General Audiences. Suitable for all ages.,35,2012,56.0,82
669,DreamWorks Spooky Stories: Volume 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,56.0,82
672,Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,81.0,82
676,Sofia the First,TV-Y,Suitable for all ages.,10,2015,82.0,80
677,Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,35,2012,85.0,80
678,Paddington,PG,mild action and rude humor,60,2014,70.0,80
679,Larva,TV-G,Suitable for all ages.,35,2015,70.0,82
680,Sid the Science Kid,TV-Y,Suitable for all ages.,10,2008,70.0,82
684,Minions,PG,action and rude humor,60,2015,96.0,80
689,The Little Prince,PG,mild thematic elements,60,2015,71.0,80
690,Word Party,TV-Y,Suitable for all ages.,10,2016,71.0,82
710,Curious George,G,General Audiences. Suitable for all ages.,35,2006,55.0,80
717,Secret of the Wings,G,General Audiences. Suitable for all ages.,35,2012,65.0,80
723,Clifford the Big Red Dog,TV-Y,Suitable for all ages.,10,2002,65.0,82
733,Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84.0,80
735,Bunk'd,TV-G,Suitable for all ages.,35,2016,61.0,80
742,The BFG,PG,"for action/peril, some scary moments and brief rude humor",60,2016,97.0,80
757,The Road to El Dorado,PG,mild thematic material and language,60,2000,91.0,80
758,Fantasia 2000,G,General Audiences. Suitable for all ages.,35,2000,91.0,82
765,Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,67.0,82
767,Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,64.0,82
770,An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,64.0,82
774,Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57.0,80
775,The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35,2006,57.0,82
779,A Monster in Paris,PG,"some action violence involving gunplay, and mild rude humor",60,2011,57.0,82
780,The Gruffalo,TV-Y,Suitable for all ages.,10,2009,57.0,82
781,DreamWorks How to Train Your Dragon Legends,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,57.0,82
782,Ernest & Celestine,PG,some scary moments,60,2012,57.0,82
785,Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35,2009,72.0,82
786,PopPixie,TV-G,Suitable for all ages.,35,2011,72.0,82
787,Jack and the Cuckoo-Clock Heart,PG,"scary images, suggestive material, some language and smoking",60,2013,72.0,82
788,The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57.0,80
789,Axel: The Biggest Little Hero,PG,"some scary images, perilous action sequences and mild rude humor",60,2013,57.0,82
790,The Adventures of Figaro Pho,TV-Y7,Suitable for children ages 7 and older,41,2015,57.0,82
791,The Boxcar Children,G,General Audiences. Suitable for all ages.,35,2014,57.0,82
792,Pet Pals in Windland,TV-G,Suitable for all ages.,35,2014,57.0,82
794,Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,57.0,82
796,Quackerz,PG,"rude and suggestive humor, and some action",60,2016,57.0,82
797,Hatched,TV-Y7,Suitable for children ages 7 and older,41,2013,57.0,82
798,Blinky Bill: The Movie,PG,some rude humor,60,2015,57.0,82
808,The Lizzie McGuire Movie,PG,mild thematic elements,60,2003,70.0,82
811,Recess: Taking the Fifth Grade,G,General Audiences. Suitable for all ages.,35,2003,70.0,82
816,The Hero of Color City,G,General Audiences. Suitable for all ages.,35,2014,70.0,82
818,The Little Engine That Could,G,General Audiences. Suitable for all ages.,35,2011,70.0,82
819,Delhi Safari,PG,"violence and menacing action, rude humor, suggestive content and thematic elements",60,2012,70.0,82
821,Pound Puppies,TV-Y,Suitable for all ages.,10,2013,70.0,82
823,Monster Math Squad,TV-G,Suitable for all ages.,35,2012,70.0,82
824,Care Bears: Welcome to Care-a-Lot,TV-Y,Suitable for all ages.,10,2012,70.0,82
826,Clifford's Puppy Days,TV-Y,Suitable for all ages.,10,2003,70.0,82
829,Dinosaur King,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2008,70.0,82
830,Ribbit,PG,some peril,60,2014,70.0,82
832,Rooster Doodle-doo,TV-G,Suitable for all ages.,35,2014,70.0,82
835,My Animal Friends,TV-Y,Suitable for all ages.,10,2013,70.0,82
836,Worms,PG,Parental guidance suggested. May not be suitable for children.,60,2013,70.0,82
837,Puffin Rock,TV-Y,Suitable for all ages.,10,2016,70.0,82
841,The Mr. Peabody and Sherman Show,TV-Y7,Suitable for children ages 7 and older,41,2017,70.0,82
842,Zoobabu,TV-Y,Suitable for all ages.,10,2010,70.0,82
844,Gon,TV-G,Suitable for all ages.,35,2013,70.0,82
845,Sid the Science Kid: The Movie,TV-Y,Suitable for all ages.,10,2012,70.0,82
848,LEGO Jurassic World: The Indominus Escape,TV-Y7,Suitable for children ages 7 and older,41,2016,70.0,82
910,Cats & Dogs,PG,animal action and humor,60,2001,58.0,82
911,Atlantis: The Lost Empire,PG,action violence,60,2001,96.0,80
916,Tarzan & Jane,G,General Audiences. Suitable for all ages.,35,2002,96.0,82
917,Atlantis: Milo's Return,G,General Audiences. Suitable for all ages.,35,2003,79.0,80
923,Batched,G,General Audiences. Suitable for all ages.,35,2000,79.0,82
925,Winnie the Pooh: Springtime with Roo,G,General Audiences. Suitable for all ages.,35,2004,79.0,82
929,Pooh's Heffalump Movie,G,General Audiences. Suitable for all ages.,35,2005,79.0,82
930,Kronk's New Groove,G,General Audiences. Suitable for all ages.,35,2005,79.0,82
931,Corpse Bride,PG,"some scary images and action, and brief mild language",60,2005,91.0,80
939,Disney Animation Collection: Vol. 2: Three Little Pigs,TV-G,Suitable for all ages.,35,2009,91.0,82
942,Underdogs,PG,Parental guidance suggested. May not be suitable for children.,60,2013,91.0,82
945,Yellowbird,PG,Parental guidance suggested. May not be suitable for children.,60,2014,91.0,82
958,Air Bud: World Pup,G,General Audiences. Suitable for all ages.,35,2000,91.0,82
968,Inspector Gadget 2,G,General Audiences. Suitable for all ages.,35,2003,74.0,82
969,Air Bud: Spikes Back,G,General Audiences. Suitable for all ages.,35,2003,74.0,82
976,Air Buddies,PG,"some mild, rude humor",60,2006,80.0,82
977,Dr. Dolittle: Tail to the Chief,PG,brief mild language and some rude behavior,60,2008,80.0,82
978,Flicka 2,PG,some reckless behavior,60,2010,80.0,82
979,H2O: Just Add Water,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2009,74.0,80
981,Dolphin Tale,PG,some mild thematic elements,60,2011,74.0,82
985,Step Dogs,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,74.0,82
987,Mia and Me,TV-Y,Suitable for all ages.,10,2015,74.0,82
989,Russell Madness,PG,some rude humor and sports action,60,2015,74.0,82
993,Wiener Dog Internationals,G,General Audiences. Suitable for all ages.,35,2015,74.0,82
994,Pup Star,G,General Audiences. Suitable for all ages.,35,2016,74.0,82
997,Precious Puppies,TV-G,Suitable for all ages.,35,2003,74.0,82
998,Beary Tales,TV-G,Suitable for all ages.,35,2013,74.0,82
